pdb_id,chain,curvature_mean,twist_mean,twist_hand_mean,pitch_mean,pitch_hand_mean,tmscore_mean,yaw_mean,curvature_std,twist_std,twist_hand_std,pitch_std,pitch_hand_std,tmscore_std,yaw_std,classification
1AQB,A,0,0.242,-1,0.589,-1,0.348,1.639,0,0.037,0,0.262,0,0.012,0.286,4.2.1.2
1IVO,A,0,0.056,1,0.034,-1,0.329,0.096,0,0.037,0,0.034,0,0.081,0.021,3.2
1QJ8,A,0,0.893,-0.333,0.208,-1,0.479,0.993,0,1.148,0.943,0.056,0,0.005,1.214,4.2
1T3D,B,0,0.57,0,0.093,-0.5,0.273,0.119,0,0.763,1,0.116,0.866,0.092,0.123,3.1.2.1
1YP3,D,0,0.038,0.333,0.016,0.333,0.493,0.018,0,0.021,0.943,0.006,0.943,0.084,0.019,3.1
2R19,A,0,0.541,-1,0.045,-0.333,0.645,0.048,0,0.176,0,0.036,0.943,0.159,0.027,3.4
2VXG,A,0,0.498,1,0.248,-1,0.432,0.163,0,0.16,0,0.025,0,0.002,0.074,3.3
3HJJ,B,0,2.036,-0.333,0.047,0.333,0.416,0.134,0,0.046,0.943,0.046,0.943,0.143,0.024,3.1.2.1
3KWC,E,0,0.959,0.6,0.325,-0.6,0.397,0.457,0,0.797,0.8,0.263,0.8,0.14,0.48,3.1.2.1
3TIO,E,0,2,-0.333,0.22,0.333,0.636,0.115,0,0.095,0.943,0.097,0.943,0.136,0.033,3.1.2.1
3TIO,F,0,0.057,1,0.022,0,0.451,0.008,0,0.048,0,0.013,1,0.07,0.008,3.1.2.1
4CTD,A,0,0.293,-1,0.07,0,0.672,2.289,0,0.052,0,0.021,1,0.024,0.233,4.2.1.1
4EGG,E,0,0.82,1,0.013,0.333,0.484,0.031,0,1.054,0,0.008,0.943,0.194,0.041,3.1.2.1
5NGY,A,0,2.046,-1,0.216,-0.5,0.464,0.246,0,0.241,0,0.201,0.866,0.03,0.175,3.4
6EZ4,A,0,0.857,1,0.107,-1,0.499,0.102,0,0.152,0,0.015,0,0.055,0.064,3.3
6M3Y,A,0,0.589,1,0.28,0.333,0.501,1.451,0,0.313,0,0.135,0.943,0.167,1.191,5.4
1NJJ,A,0.001,2.764,1,0.459,1,0.17,1.508,0.001,0.216,0,0.058,0,0.002,1.245,4.1
1NQL,A,0.001,2.233,-0.5,0.663,0,0.211,2.512,0,0.593,0.866,0.311,1,0.053,0.116,3.2
1WUB,A,0.001,1.093,-0.333,0.669,-0.333,0.385,1.381,0.001,0.782,0.943,0.271,0.943,0.046,0.492,4.2
2FHL,B,0.001,1.74,-0.333,0.258,-0.333,0.3,1.228,0.001,0.709,0.943,0.158,0.943,0.05,0.425,4.2
2P2O,F,0.001,2.083,0,0.158,1,0.5,0.137,0,0.09,1,0.075,0,0.003,0.055,3.1.2.1
2X6H,B,0.001,1.116,0.333,0.179,-1,0.402,0.251,0,1.355,0.943,0.069,0,0.03,0.33,3.3
3JQY,B,0.001,0.08,1,0.016,0.2,0.48,0.011,0,0.067,0,0.009,0.98,0.074,0.007,3.1.2.1
3KWC,D,0.001,1.178,1,0.223,-0.2,0.392,0.224,0,0.942,0,0.226,0.98,0.153,0.248,3.1.2.1
3ZSC,A,0.001,0.114,-0.75,0.033,-0.5,0.422,0.353,0.001,0.053,0.661,0.06,0.866,0.135,0.869,3.1
4RLC,A,0.001,0.893,0.333,0.551,-1,0.605,0.84,0,0.865,0.943,0.511,0,0.058,0.945,4.2
5AMV,A,0.001,0.088,-1,0.027,1,0.425,0.042,0.001,0.018,0,0.029,0,0.053,0.049,3.1
5M5Z,A,0.001,0.105,-1,0.017,0.143,0.409,0.028,0.001,0.092,0,0.021,0.99,0.09,0.018,3.1
5NR4,B,0.001,0.531,0,0.159,0,0.664,0.083,0,0.22,1,0.182,1,0.086,0.039,3.3
6IVE,A,0.001,0.019,1,0.007,0.2,0.596,0.012,0,0.012,0,0.005,0.98,0.057,0.012,3.1
6L26,A,0.001,1.987,0,0.514,0.5,0.308,1.327,0.001,1.075,1,0.411,0.866,0.023,0.567,4.2
1ERB,A,0.002,0.353,1,0.733,1,0.374,1.484,0,0.078,0,0.056,0,0.023,0.395,4.2.1.2
2OF9,B,0.002,1.051,0.333,0.276,-0.333,0.296,1.329,0.001,0.251,0.943,0.167,0.943,0.045,0.537,4.2
3KWD,A,0.002,1.578,0.2,0.293,-0.6,0.372,0.136,0.001,0.782,0.98,0.242,0.8,0.146,0.154,3.1.2.1
3V8U,A,0.002,1.07,0.333,0.243,-0.333,0.315,0.941,0.001,1.086,0.943,0.15,0.943,0.007,0.472,4.2
4MFG,A,0.002,0.029,1,0.007,0.2,0.525,0.013,0,0.018,0,0.007,0.98,0.065,0.006,3.1
4NQ0,A,0.002,0.532,1,0.272,-1,0.577,0.609,0,0.248,0,0.029,0,0.07,0.264,3.3
5DZY,C,0.002,2.802,-1,0.069,0.333,0.727,0.077,0,0.243,0,0.061,0.943,0.072,0.032,5.4
5NR4,A,0.002,0.536,0.2,0.203,-0.6,0.634,0.061,0,0.234,0.98,0.147,0.8,0.107,0.039,3.3
6JLY,E,0.002,0.042,1,0.016,0.5,0.465,0.025,0,0.039,0,0.016,0.866,0.106,0.012,3.1
1HBQ,A,0.003,0.807,-1,0.585,-1,0.403,1.74,0.001,0.542,0,0.103,0,0.01,0.726,4.2.1.2
1K28,A,0.003,0.353,-1,0.018,-0.2,0.543,0.014,0.001,0.118,0,0.014,0.98,0.195,0.014,3.1
1THJ,A,0.003,1.451,1,0.146,1,0.427,0.171,0.001,0.981,0,0.099,0,0.039,0.114,3.1.2.1
2JCD,A,0.003,1.936,0,0.175,1,0.424,1.436,0.001,1.163,1,0.042,0,0.015,0.932,4.6.1
2OFB,A,0.003,1.659,-0.333,0.316,0.333,0.3,1.342,0.002,0.696,0.943,0.173,0.943,0.045,0.5,4.2
2P2O,C,0.003,0.08,1,0.013,0,0.414,0.015,0,0.047,0,0.012,1,0.09,0.008,3.1.2.1
2X6J,A,0.003,1.099,-0.333,0.131,-0.333,0.409,0.337,0,1.421,0.943,0.068,0.943,0.061,0.394,3.3
3N90,A,0.003,0.386,-0.6,0.053,0.2,0.464,0.075,0.002,0.677,0.8,0.068,0.98,0.158,0.105,3.1.1.1
4JRA,C,0.003,0.112,-1,0.014,-0.333,0.419,0.003,0,0.039,0,0.01,0.943,0.079,0.003,3.1.1.1
4YO5,A,0.003,0.831,1,0.626,1,0.517,0.76,0,0.045,0,0.279,0,0.082,0.7,3.3
4YO5,K,0.003,0.368,1,0.48,1,0.526,0.334,0,0.361,0,0.018,0,0.066,0.23,3.3
5DN7,A,0.003,1.006,0,0.345,0,0.543,0.297,0.001,1.075,1,0.181,1,0.092,0.072,3.3
1A2D,B,0.004,0.798,-1,0.636,1,0.323,1.304,0.002,0.309,0,0.618,0,0.125,0.883,4.2.1.2
1EWW,A,0.004,1.941,-1,0.113,1,0.243,1.6,0.002,1.094,0,0.043,0,0.05,1.354,3.1.2.2
1M8N,D,0.004,1.377,0.333,0.113,-0.667,0.433,1.096,0.004,1.388,0.943,0.139,0.745,0.14,1.425,3.1
1SSM,B,0.004,0.047,0.333,0.017,0.333,0.397,0.016,0,0.03,0.943,0.006,0.943,0.079,0.011,3.1.2.1
2X6F,B,0.004,1.102,0.333,0.206,-1,0.404,0.341,0.001,1.427,0.943,0.064,0,0.052,0.4,3.3
3BXY,A,0.004,0.464,1,0.056,0.2,0.542,0.041,0.002,0.864,0,0.04,0.98,0.128,0.024,3.1.2.1
3VI1,B,0.004,0.085,-1,0.01,1,0.519,0.006,0,0.01,0,0.001,0,0.04,0.004,3.1
3WLW,B,0.004,0.026,1,0.054,0.333,0.392,0.124,0.001,0.017,0,0.022,0.943,0.05,0.061,3.2
5UBP,A,0.004,0.842,0.5,0.408,-0.5,0.485,0.818,0.002,0.63,0.866,0.167,0.866,0.084,0.495,3.3
5ZBG,A,0.004,0.134,-1,0.159,1,0.623,0.115,0,0.023,0,0.089,0,0.032,0.072,3.3
3L08,A,0.005,0.704,0.333,0.154,-1,0.385,0.532,0.001,0.84,0.943,0.065,0,0.029,0.475,3.3
3OU9,A,0.005,1,0,0.143,0,0.509,0.152,0.002,0.871,1,0.2,1,0.058,0.177,3.1.2.1
